coding	meaning	node_id	parent_id	selectable
8121	Paper and wood machine operatives	8121	812	N
8122	Coal mine operatives	8122	812	N
8123	Quarry workers and related operatives	8123	812	N
8124	Energy plant operatives	8124	812	N
8125	Metal working machine operatives	8125	812	N
8126	Water and sewerage plant operatives	8126	812	N
8129	Plant and machine operatives n.e.c.	8129	812	N
8131	Assemblers (electrical products)	8131	813	N
8132	Assemblers (vehicles and metal goods)	8132	813	N
8133	Routine inspectors and testers	8133	813	N
8134	Weighers, graders, sorters	8134	813	N
8135	Tyre, exhaust and windscreen fitters	8135	813	N
8136	Clothing cutters	8136	813	N
8137	Sewing machinists	8137	813	N
8138	Routine laboratory testers	8138	813	N
8139	Assemblers and routine operatives n.e.c.	8139	813	N
8141	Scaffolders, stagers, riggers	8141	814	N
8142	Road construction operatives	8142	814	N
8143	Rail construction and maintenance operatives	8143	814	N
8149	Construction operatives n.e.c.	8149	814	N
8211	Heavy goods vehicle drivers	8211	821	N
8212	Van drivers	8212	821	N
8213	Bus and coach drivers	8213	821	N
8214	Taxi, cab drivers and chauffeurs	8214	821	N
8215	Driving instructors	8215	821	N
8216	Rail transport operatives	8216	821	N
8217	Seafarers (merchant navy); barge, lighter and boat operatives	8217	821	N
8218	Air transport operatives	8218	821	N
8219	Transport operatives n.e.c.	8219	821	N
8221	Crane drivers	8221	822	N
8222	Fork-lift truck drivers	8222	822	N
8223	Agricultural machinery drivers	8223	822	N
8229	Mobile machine drivers and operatives n.e.c.	8229	822	N
9111	Farm workers	9111	911	N
9112	Forestry workers	9112	911	N
9119	Fishing and agriculture related occupations n.e.c.	9119	911	N
9121	Labourers in building and woodworking trades	9121	912	N
9129	Labourers in other construction trades n.e.c.	9129	912	N
9131	Labourers in foundries	9131	913	N
9132	Industrial cleaning process occupations	9132	913	N
9133	Printing machine minders and assistants	9133	913	N
9134	Packers, bottlers, canners, fillers	9134	913	N
9139	Labourers in process and plant operations n.e.c.	9139	913	N
9141	Stevedores, dockers and slingers	9141	914	N
9149	Other goods handling and storage occupations n.e.c.	9149	914	N
9211	Postal workers, mail sorters, messengers, couriers	9211	921	N
9219	Elementary office occupations n.e.c.	9219	921	N
9221	Hospital porters	9221	922	N
9222	Hotel porters	9222	922	N
9223	Kitchen and catering assistants	9223	922	N
9224	Waiters, waitresses	9224	922	N
9225	Bar staff	9225	922	N
9226	Leisure and theme park attendants	9226	922	N
9229	Elementary personal services occupations n.e.c.	9229	922	N
9231	Window cleaners	9231	923	N
9232	Road sweepers	9232	923	N
9233	Cleaners, domestics	9233	923	N
9234	Launderers, dry cleaners, pressers	9234	923	N
9235	Refuse and salvage occupations	9235	923	N
9239	Elementary cleaning occupations n.e.c.	9239	923	N
9241	Security guards and related occupations	9241	924	N
9242	Traffic wardens	9242	924	N
9243	School crossing patrol attendants	9243	924	N
9244	School mid-day assistants	9244	924	N
9245	Car park attendants	9245	924	N
9249	Elementary security occupations n.e.c.	9249	924	N
9251	Shelf fillers	9251	925	N
9259	Elementary sales occupations n.e.c.	9259	925	N
1111001	AM (National Assembly)	1111001	1111	Y
1111002	Ambassador (Foreign and Commonwealth Office)	1111002	1111	Y
1111003	Band 0 (Health and Safety Executive)	1111003	1111	Y
1111004	Band 1B (Meteorological Office)	1111004	1111	Y
1111005	Band 1C (Meteorological Office)	1111005	1111	Y
1111006	Clerk to the commissioners (Inland Revenue)	1111006	1111	Y
1111007	Commissioner (government)	1111007	1111	Y
1111008	Diplomat	1111008	1111	Y
1111009	Director, deputy (government)	1111009	1111	Y
1111010	Director, group (government)	1111010	1111	Y
1111011	Grade 1 (Foreign and Commonwealth Office)	1111011	1111	Y
1111012	Grade 1 (government)	1111012	1111	Y
1111013	Grade 2 (Foreign and Commonwealth Office)	1111013	1111	Y
1111014	Grade 2 (government)	1111014	1111	Y
1111015	Grade 3 (Foreign and Commonwealth Office)	1111015	1111	Y
1111016	Grade 3 (government)	1111016	1111	Y
1111017	Grade 4 (Foreign and Commonwealth Office)	1111017	1111	Y
1111018	Grade 5 (Foreign and Commonwealth Office)	1111018	1111	Y
1111019	Grade 5 (government)	1111019	1111	Y
1111020	MEP	1111020	1111	Y
1111021	MP	1111021	1111	Y
1111022	MSP	1111022	1111	Y
1111023	Member of European Parliament	1111023	1111	Y
1111024	Member of Parliament	1111024	1111	Y
1111025	Member of Scottish Parliament	1111025	1111	Y
1111026	Member, assembly (National Assembly)	1111026	1111	Y
1111027	Minister (government)	1111027	1111	Y
1111028	Secretary of state	1111028	1111	Y
1111029	Secretary, assistant (government)	1111029	1111	Y
1111030	Secretary, deputy (government)	1111030	1111	Y
1111031	Secretary, first	1111031	1111	Y
1111032	Secretary, parliamentary	1111032	1111	Y
1111033	Secretary, permanent (government)	1111033	1111	Y
1111034	Secretary, private, parliamentary	1111034	1111	Y
1111035	Secretary, second	1111035	1111	Y
1111036	Secretary, under (government)	1111036	1111	Y
1111037	Servant, civil (grade 5 and above)	1111037	1111	Y
1111038	Servant, civil (assistant secretary and above)	1111038	1111	Y
1112001	Chairman (major organisation)	1112001	1112	Y
1112002	Chairman, company (major organisation)	1112002	1112	Y
1112003	Director (major organisation)	1112003	1112	Y
1112004	Director, company (major organisation)	1112004	1112	Y
1112005	Director, managing (major organisation)	1112005	1112	Y
1112006	Executive, chief (major organisation)	1112006	1112	Y
1112007	Manager, general (major organisation)	1112007	1112	Y
1112008	President	1112008	1112	Y
1112009	President, company	1112009	1112	Y
1112010	President, vice	1112010	1112	Y
1113001	Clerk of the council	1113001	1113	Y
1113002	Clerk to the board (local government)	1113002	1113	Y
1113003	Clerk to the council	1113003	1113	Y
1113004	Clerk to the county council	1113004	1113	Y
1113005	Clerk to the district council	1113005	1113	Y
1113006	Clerk to the parish council	1113006	1113	Y
1113007	Clerk, chief (local government)	1113007	1113	Y
1113008	Clerk, deputy (local government)	1113008	1113	Y
1113009	Clerk, principal (local government)	1113009	1113	Y
1113010	Clerk, staff (local government)	1113010	1113	Y
1113011	Clerk, town	1113011	1113	Y
1113012	Collector, rate, chief	1113012	1113	Y
1113013	Collector, superintendent (local government)	1113013	1113	Y
1113014	Councillor (local government)	1113014	1113	Y
1113015	Director (local government)	1113015	1113	Y
1113016	Executive, chief (local government)	1113016	1113	Y
1113017	Keeper of the Signet	1113017	1113	Y
1113018	Manager, health, environmental	1113018	1113	Y
1113019	Manager, project (local government)	1113019	1113	Y
1113020	Manager, services, environmental	1113020	1113	Y
1113021	Manager, standards, trading	1113021	1113	Y
1113022	Manager, tax, council	1113022	1113	Y
1113023	Officer, chief (local government)	1113023	1113	Y
1114001	Director, charity	1114001	1114	Y
1114002	Director, divisional (Red Cross)	1114002	1114	Y
1114003	Executive, chief (charitable organisation)	1114003	1114	Y
1114004	Manager (charity)	1114004	1114	Y
1114005	Manager (professional association)	1114005	1114	Y
1114006	Manager (religious organisation)	1114006	1114	Y
1114007	Manager (trade association)	1114007	1114	Y
1114008	Manager (trade union)	1114008	1114	Y
1114009	Manager, branch (trade association)	1114009	1114	Y
1114010	Manager, development, donor (charitable organisation)	1114010	1114	Y
1114011	Ombudsman	1114011	1114	Y
1114012	Organiser, national (charitable organisation)	1114012	1114	Y
1114013	Organiser, national (trade union)	1114013	1114	Y
1114014	President (trade union)	1114014	1114	Y
1114015	President, union	1114015	1114	Y
1114016	Secretary, area (charitable organisation)	1114016	1114	Y
1114017	Secretary, area (professional organisation)	1114017	1114	Y
1114018	Secretary, area (trade association)	1114018	1114	Y
1114019	Secretary, area (trade union)	1114019	1114	Y
1114020	Secretary, diocesan	1114020	1114	Y
1114021	Secretary, general (charitable organisation)	1114021	1114	Y
1114022	Secretary, general (professional association)	1114022	1114	Y
1114023	Secretary, general (trade association)	1114023	1114	Y
1114024	Secretary, general (trade union)	1114024	1114	Y
1114025	Secretary, national (trade union)	1114025	1114	Y
1121001	Director (engineering)	1121001	1121	Y
1121002	Director (manufacturing)	1121002	1121	Y
1121003	Director (printing)	1121003	1121	Y
1121004	Director of manufacturing	1121004	1121	Y
1121005	Director, company (engineering)	1121005	1121	Y
1121006	Director, company (manufacturing)	1121006	1121	Y
1121007	Director, engineering	1121007	1121	Y
1121008	Director, managing (engineering)	1121008	1121	Y
1121009	Director, managing (manufacturing)	1121009	1121	Y
1121010	Director, manufacturing	1121010	1121	Y
1121011	Director, operations (manufacturing)	1121011	1121	Y
1121012	Director, technical	1121012	1121	Y
1121013	Engineer, superintendent	1121013	1121	Y
1121014	Foreman, general (manufacturing)	1121014	1121	Y
1121015	Foreman, senior (manufacturing)	1121015	1121	Y
1121016	Foreman, works (manufacturing)	1121016	1121	Y
1121017	Manager (coke ovens)	1121017	1121	Y
1121018	Manager (engineering)	1121018	1121	Y
1121019	Manager (manufacturing)	1121019	1121	Y
1121020	Manager (mineral oil processing)	1121020	1121	Y
1121021	Manager (nuclear fuel production)	1121021	1121	Y
1121022	Manager (packing company)	1121022	1121	Y
1121023	Manager (printing)	1121023	1121	Y
1121024	Manager (ship building, repairing)	1121024	1121	Y
1121025	Manager (solid fuel mfr)	1121025	1121	Y
1121026	Manager (steelworks)	1121026	1121	Y
1121027	Manager, abattoir	1121027	1121	Y
1121028	Manager, bakery	1121028	1121	Y
1121029	Manager, brewery	1121029	1121	Y
1121030	Manager, composition	1121030	1121	Y
1121031	Manager, contract (manufacturing)	1121031	1121	Y
1121032	Manager, contracts (manufacturing)	1121032	1121	Y
1121033	Manager, control, materials	1121033	1121	Y
1121034	Manager, control, production	1121034	1121	Y
1121035	Manager, dairy (food products mfr)	1121035	1121	Y
1121036	Manager, district (manufacturing)	1121036	1121	Y
1121037	Manager, divisional (manufacturing)	1121037	1121	Y
1121038	Manager, electro-plating	1121038	1121	Y
1121039	Manager, engineering	1121039	1121	Y
1121040	Manager, factory	1121040	1121	Y
1121041	Manager, floor (manufacturing)	1121041	1121	Y
1121042	Manager, foundry	1121042	1121	Y
1121043	Manager, general (manufacturing)	1121043	1121	Y
1121044	Manager, house, dye	1121044	1121	Y
1121045	Manager, maintenance	1121045	1121	Y
1121046	Manager, manufacturing	1121046	1121	Y
1121047	Manager, mill	1121047	1121	Y
1121048	Manager, office, printing (PO)	1121048	1121	Y
1121049	Manager, operations	1121049	1121	Y
1121050	Manager, plant	1121050	1121	Y
1121051	Manager, print	1121051	1121	Y
1121052	Manager, printing	1121052	1121	Y
1121053	Manager, production	1121053	1121	Y
1121054	Manager, progress	1121054	1121	Y
1121055	Manager, project (manufacturing)	1121055	1121	Y
1121056	Manager, projects	1121056	1121	Y
1121057	Manager, publications (technical)	1121057	1121	Y
1121058	Manager, publications, technical	1121058	1121	Y
1121059	Manager, regional (manufacturing)	1121059	1121	Y
1121060	Manager, reprographics	1121060	1121	Y
1121061	Manager, room, composing	1121061	1121	Y
1121062	Manager, room, print	1121062	1121	Y
1121063	Manager, room, tool	1121063	1121	Y
1121064	Manager, service	1121064	1121	Y
1121065	Manager, services, technical	1121065	1121	Y
1121066	Manager, shift	1121066	1121	Y
1121067	Manager, shop (manufacturing)	1121067	1121	Y
1121068	Manager, shop (metal trades)	1121068	1121	Y
1121069	Manager, shop, colour	1121069	1121	Y
